step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,2,45,0,2,2,2,-0.0027036507634352943,0.00066959934570529176,0,3.1500000000000004
2,2,46,0,2,2,2,-0.0017073371234878154,0.00067182299904698076,0,3.1500000000000004
2,2,47,0,2,2,2,-0.0042581785472411548,0.00034124181702910588,0,3.1500000000000004
2,2,48,0,2,2,2,-0.0024245028303090817,0.00033084170684726563,0,3.1500000000000004
2,2,49,0,2,2,2,-0.00033892816027124544,0.00027886268015485529,0,3.1500000000000004
2,2,50,0,0,0,0,0.00045775384564690984,8.4759011954577051e-05,0,3.1500000000000004
2,2,51,0,2,2,2,-0.0014654785011432958,0.00037975975234372472,0,3.1500000000000004
2,2,52,0,2,2,2,-0.00074517330050857236,0.00038189346263231712,0,3.1500000000000004
2,2,53,0,2,2,2,-0.00013733625422617584,-1.7130593273373361e-06,0,3.1500000000000004
2,2,54,0,2,2,2,-0.00012849850153712815,-1.4832594334614021e-06,0,3.1500000000000004
2,2,55,0,2,2,2,-0.0010291162957138983,-7.5866648693399515e-05,0,3.1500000000000004
2,2,56,0,2,2,2,-0.0011460558887854571,-7.8185704890542052e-05,0,3.1500000000000004
2,2,57,0,2,2,2,-0.0010693281765778904,-0.00010284787259386105,0,3.1500000000000004
2,2,58,0,2,2,2,-0.0010869170466679759,-9.9455593577731904e-05,0,3.1500000000000004
2,2,59,0,2,2,2,-0.00013736495836876115,1.7731562707648777e-06,0,3.1500000000000004
2,2,60,0,2,2,2,-0.000128493522050123,1.5296227462118809e-06,0,3.1500000000000004
2,2,61,0,2,2,2,-0.0010687613610491523,1.741265576948017e-05,0,3.1500000000000004
2,2,62,0,2,2,2,-0.0010708101694791657,2.565159654827561e-05,0,3.1500000000000004
2,2,63,0,2,2,2,-0.0010708257545523222,-2.5675218734795292e-05,0,3.1500000000000004
2,2,64,0,2,2,2,-0.0010687619405730614,-1.7436105264112233e-05,0,3.1500000000000004
2,2,65,0,2,2,2,-0.00033905274464471639,-0.000278643467050512,0,3.1500000000000004
2,2,66,0,0,0,0,0.00045769691254030922,-3.3189034636617173e-05,0,3.1500000000000004
2,2,67,0,2,2,2,-0.0010868679318312884,9.9433039336424331e-05,0,3.1500000000000004
2,2,68,0,2,2,2,-0.0010692962473567301,0.00010281936783095564,0,3.1500000000000004
2,2,69,0,2,2,2,-0.0011459824838741261,7.8170046768676543e-05,0,3.1500000000000004
2,2,70,0,2,2,2,-0.0010290762927991186,7.5845780099230537e-05,0,3.1500000000000004
2,2,71,0,2,2,2,-0.00074518919111934718,-0.00038185253855105121,0,3.1500000000000004
2,2,72,0,2,2,2,-0.001465419072905501,-0.00037971847480612267,0,3.1500000000000004
2,2,73,0,0,1,1,-2.3589234119045467e-05,3.0770141958992892e-05,0,3.1500000000000004
2,2,74,0,0,0,0,6.1666118358237913e-05,0,0,3.1500000000000004
2,2,75,0,2,2,2,-0.00038431522607564278,0.00014329896376244058,0,3.1500000000000004
2,2,76,0,2,2,2,-0.00050811826812317135,0.000160724467643824,0,3.1500000000000004
2,2,77,0,2,2,2,-0.0004642064447358027,7.119086559190722e-05,0,3.1500000000000004
